0400|Charlie Juliet, Charlie Juliet, Bravo Wimmo, Bravo Wimmo, checking in after checking our hours are ours and I'm gonna have a craft change.
0366|really nice balance between a little bit looser but you know it doesn't lose any drive but a little more release feels like a bit more lift as well but yeah just not really I'm really stoked
0372|grinding up some new coffee beans. I'm gonna get nickinated and then fires on. She's roaring. She's, oh actually, she's not roaring right now. She's only powering. I need to replace some logs. And then work. Key back.
0414|Yeah, fucking Nickajew with the crochet absolutely smashed it out of the park on that one. What a good little dude. Um That's fucking sick though you made it made that you made that you get the credit
0399|I really like working with white and I really want to do a big forehand carve today
0164|Friday night, big one in the seat. It's, it's, it's. All the boys are gonna come round with pre-its. It's, it's, it's. Drinking beers, drinking beers. Weh, weh, weh. Chammins, we're having a good time. Beep, beep, beep, beep, beep, weh. Then we're gonna go sit here. We're gonna go bowling. Fucking tamping, bowling. Smash a few... Smash a few...
0170|on the kind of end of it and it just happens that sometimes it does that and it's quite difficult because you know when you're trying to do that thing and then especially when the kind of tide is doing that and then you've got the backwash and the kind of putting it up there.
0158|I've already done two in hours 15. I'm about to lock in for a mega fucking woofing session on the keyboard because work keeps deciding that I can't wind down just yet even though I decided I was trying to wind down fucking two weeks ago.
0010|of Oaks Beach from the road off to Gaff. Jesus Christ, it's windy. Holy smokes. But I'm frothing. I'm absolutely frothing. Sydney's just.
0004|I mean, uh.
0038|I can't wait to fucking click on it as well. Um, yeah, I've been, I'm looking forward to that. I've just not been managing my time very well. And it's that weird thing of like.
0212|So the only option to progress this is on the weekend, so I got a car, I'm just gonna rock up to Contra's S-Rite with the board bug right and then see what they say.
0206|For dinner, perhaps. After a surf later. I don't want to overstep inside your humble shed. You know what I mean?
0207|I don't know what you're talking about. I mean in fairness, Rocky Leves like did look better but there's like ten guys in it and graveyard was empty and like fair some of them were burgers but on like quite a lot of them it's like proper inside bowl and you could just
0213|there because there's no way it's $500 fucking dollars. And then if it is, then obviously, perhaps we're about to plan B, C or D. My preference being on D.
0039|You know when you don't have any set amount of time to do work work So then I just don't I don't know like I'll end up working like now I've worked until 10 to 7 and
0005|Just surfed Bad Beach with Sydney. Waste high. Jubbly drop. Might have to try and get a little stampy wampy on the passport.
0011|send me a message saying Fitz was small and super windy so f***ing keen! Woohoo! F*** sake man, oh I'm meant to have afternoons and that you know what I mean.
0159|So we'll see how that goes if I can see little skywags.
0171|It's kind of pretty difficult I can imagine to continue doing that now. So yeah brother just returned from the surf he said it was fucking waste time, windy as fuck so I'm gonna go and check it. Yeah you're right it was chuffing yesterday and we
