103|Mahoutsof, a limeman, short and sweet, da surf wut wut!
117|So this morning I've self-assigned my, what? I've self-assigned myself, I've assigned myself the very, very crucially important task to generate a analysis flowchart of the work I've been doing. And to do that, how am I doing that? Well, what I've done is I've given Gemini CLI a prompt to go into my function and just search everything and generate the prompts for me to copy and paste into another AI tool. And I'm setting up a UX pilot account, which is an AI wireframing thingy. And then I'm going to copy and paste the Gemini output prompts to then put into this UX pilot. Um, to fucking do it all for me. So I will keep you updated on how it goes. Oh, oh, UX pilot, you want money from me? Fuck off. I'm going to use a different one. Okay. Okay. I'll keep you updated. Whimsical. Join for free. That sounds good.
116|Yeah, and what I also think is really cool, and what I'm really enjoying is that like every couple of weeks, something happens with Clixed. And even though like, if you looked at it from when we very first started to now, in terms of actual progress, arguably, one could potentially say there hasn't been a great deal in the last six months, potentially, or wherever it's been. However, to me, there's been a fucking huge progress. And we keep coming across new tools, new things to learn about, and new areas to improve our development games, which is the most important part. And she probably actually build the website. And actually fucking just do it. But yeah, fucking shit happens. Shit takes time. And yeah, that's OK, because this is a safe space and a productive environment where there's no pressure from the outside world.
102|I'm on the fucking road and she's blowing her fucking tits off, holy shit! I'm flying down the fucking South Coast road, whatever it's called. You know when you kind of get the view of Oakes Beach from the road off your gaff? Jesus Christ! It's windy. Holy smokes. But I'm frothing. I'm absolutely frothing. Sydney just sent me a message saying Fitz was smaller than Super Windy. So fucking keen! Woohoo! Fuck's sake, man. I'm meant to have afternoons and that, you know what I mean?
17|Yeah, I remember him saying it was a high tide, it's pretty buggery. Which can't confirm because I surfed the groin in the morning and was looking over and it was burger. Yeah, fuck, fun. Another fun wave ticked off the fucking list. Now to tick off some nyesh. I'm doing yoga this morning as well. Fucking inspired by the Willis family. I'm going to shine yoga. Yoga for stiff people. Okura Hall, 9am.
15|Ended up from drop your rents off and then when the surfed To the right of the groin at low tide, I don't know what white ease Or something. I don't know. I don't know what's good Fuck me, I don't know why your dad was shitting on it so much. It's actually well fun it was like overhead and then you could do like I'd like this inside kind of Bully section and you could fucking wrap it and Last fucking so many ways. I've done like four or five times in it was sick Fucking hell it was cold. Those easties or suvely's blown strong and then Fuck what's her face Sydney was like? I joined a come mine for a drink. So they okay and then went for a drink there. He's hanging out and then Bounce to go go home and have some dinner and then when I'm driving home, she fucking measured me the screenshot And I was like what?
101|Sound effects were pretty enjoyable there. Um, fucking Blern is cunt off, eh? Part of my French. Is that pretty southerly as well? Trying to stuff if I want to drive down the coast. Or not. I've got an hour, two hours and fifteen till the meeting. Probably got time.
115|What were check out that down going down It is morning time I'm not feeling well rested and you can guess why Cold Still sat in the car after arriving at the house because car has heater House no heater house need make fire fire take time to warm house house called I called
129|That is your JS now brother, your JS. So don't refer to it as mine ever again. I've passed on the baton. Shame to hear about the surf. Quite disappointed actually in that. But you know we do love a big amount of crab hunting. So that's fun. Update on the old Naki coastline. I'm down in the graveyard now and it's still blowing its absolute fudging tweed off. Absolute Harry Swede blowing off. Absolute blowing its bloody teats off. Absolute was a size double D cup. Now it's negative double triple A's. Absolutely fucking blowing. It's blowing off the mountain harder than a Japanese samurai slices a bamboo stick in half. It's blowing so hard that if one were to step outside of one's vehicle, one would potentially end up in Australia. It is blowing so hard that I believe the rocks underneath the reef are even moving. Fuck me it's so windy. Holy shit. Few guys out, few tangos out of graveyards, maybe five, six people. Got another fucking he's got a huge nose. Oh my God. That poke your eye out. Wow. That's unfortunate for him. Yeah. Five tangos out of graveyards. Pretty small. Blowing its teats off. I doubt there'd be anyone at Rocky Road so I might go check that.
28|I don't know what you're talking about. I mean in fairness, Rocky Leves like did look better but there's like ten guys in it and graveyard was empty and like fair some of them were burgers but on like quite a lot of them it's like proper inside bowl and you could just fuck off there'd be at least like one bang section and like a few cutties but fuck so fun and that is extremely funny regarding your your parents already fucking or your mom already saying yeah um all good that made me laugh and enjoy yourself brother fucking spank the cun out of it
